Sample_Name,Location,Date,Time,Lat,Long,2H,18O,17O
1315,Roaring,8/26/24,,42.43856274,-72.48246791,-51.780115,-8.351397,-4.80239
1316,Doolittle,8/26/24,,42.45111406,-72.49303401,-48.629939,-7.610048,-4.326748
1317,Eastman Up,8/26/24,,42.41935248,-72.5255505,-46.924405,-7.321552,-4.079984
1318,Eastman Down,8/26/24,,42.40749,-72.53931,-50.770528,-8.004269,-4.436983
1319,Campus Pond Down,8/26/24,,42.3902239,-72.5266666,-49.020111,-7.693848,-4.109113
1320,Campus Pond Up,8/26/24,,42.3885239,-72.5264238,-48.518415,-7.774272,-4.119412
1321,Tan Brook Up,8/26/24,,42.3824138,-72.5236866,-49.389395,-7.933198,-4.170865
1322,Tan Brook Down,8/26/24,,42.3912734,-72.5364652,-50.011459,-7.945149,-4.035394
1323,Horse Up,8/26/24,,42.37365205,-72.53945361,-43.447054,-6.77105,-3.331245
1324,Horse Down,8/26/24,,42.38465068,-72.54656225,-44.705988,-6.867796,-3.668966
1325,Mill Site,8/26/24,,42.3864,-72.55032,-50.211775,-8.127886,-3.834836
1326,Knightly,8/26/24,,42.39515,-72.56174,-52.540017,-8.57223,-4.014004
1327,Lake Warner Out,8/26/24,,42.38561207,-72.58137525,-48.270682,-7.75211,-3.479591
1328,MR Montague Bridge,8/26/24,,42.41174901,-72.52841008,,-8.242958,-3.711257
1329,Lower MR Trail Bridge,8/26/24,,42.41412,-72.5228,-50.257996,-8.237731,-3.683101
1330,Puffers Waterfall,8/26/24,,42.41571,-72.51936,-49.977514,-8.218549,-3.618126
1331,Puffers Pond Beach,8/26/24,,42.41607,-72.51742,-50.236497,-8.166885,-3.617298
1332,Upper Puffers - Bridge,8/26/24,,42.41583,-72.51217,-50.439604,-8.302664,-3.647416
1333,Atkins Reservoir,8/26/24,,42.41998532,-72.48228751,-42.420245,-6.602913,-2.746228
1334,Broad Hill,8/26/24,,42.44938891,-72.46629085,-50.668715,-8.511482,-3.708068
1335,Leverett Library,8/26/24,,42.46187717,-72.49582683,-52.694486,-8.667557,-3.785177
1336,Leverett Pond,8/26/24,,42.46262232,-72.50511282,,-4.974974,-1.708092
1337,Haskins Meadows,8/26/24,,42.42912158,-72.49457164,-50.090984,-8.19225,-3.481458
1338,USFWS Parking Lot,8/26/24,,42.38396,-72.54902,-42.175767,-6.482568,-2.558617
1339,Prindle school,8/26/24,,42.36442,-72.54051,-44.543869,-7.132272,-3.702127
1340,UMass Stadium,8/26/24,,42.37626,-72.54026,-42.674535,-6.762886,-3.525717
1341,Cole Conservation,8/26/24,,42.41952283,-72.53745861,-43.619153,-6.96067,-3.608218
1342,Wildwood Cemetery,8/26/24,,42.3884533,-72.5143713,-38.418673,-5.651764,-2.971512
1343,Fieldstone,8/26/24,,42.3842276,-72.5248678,-48.660905,-7.719679,-4.029884
1344,Wet Center Down,8/26/24,,42.38755493,-72.53971758,-49.745759,-7.958591,-4.206586
1345,Wet Center Up,8/26/24,,42.38951737,-72.53923049,-49.543766,-7.917474,-4.15883
1346,Wet Center,8/26/24,,42.38820223,-72.5392954,-49.519645,-7.915434,-4.120341
1347,TBD Down,8/26/24,,42.39127431,-72.5376558,-49.137806,-7.734322,-3.97129
1348,TBD Up,8/26/24,,42.39124813,-72.53555958,-48.665925,-7.429022,-3.820573
1439,Broad Hill,11/16/24,10:52:00 AM,42.44938891,-72.46629085,-55.241967,-7.820822,-3.79259
1440,Leverett Pond,11/16/24,11:04:00 AM,42.46262232,-72.50511282,,-1.563872,-0.605237
1441,Leverett Library,11/16/24,11:17:00 AM,42.46187717,-72.49582683,-54.749317,-7.647046,-3.747631
1442,Atkins Reservoir,11/16/24,11:30:00 AM,42.41998532,-72.48228751,-42.834817,-4.964205,-2.443255
1443,Haskins Meadows,11/16/24,11:41:00 AM,42.42912158,-72.49457164,-53.476212,-7.358885,-3.680218
1444,Haskins Meadows Down,11/16/24,11:44:00 AM,42.42879692,-72.4949632,-53.375897,-7.345424,-3.738251
1445,MR Montague Bridge,11/16/24,12:01:00 PM,42.41174901,-72.52841008,,-7.223437,-3.737289
1446,Lower MR Trail Bridge,11/16/24,12:08:00 PM,42.41412,-72.5228,-52.856757,-7.145328,-3.796413
1447,Puffers Waterfall,11/16/24,12:14:00 PM,42.41571,-72.51936,-53.001844,-7.213047,-3.847737
1448,Puffers Pond Beach,11/16/24,12:21:00 PM,42.41607,-72.51742,-52.707815,-7.154501,-3.879008
1449,Upper Puffers - Bridge,11/16/24,12:29:00 PM,42.41583,-72.51217,-53.486715,-7.335097,-4.049738
1450,Wildwood Cemetery,11/16/24,12:53:00 PM,42.3884533,-72.5143713,-24.453788,-0.590239,-0.637494
1451,USFWS Parking Lot,11/16/24,1:11:00 PM,42.38396,-72.54902,-31.158622,-2.727472,-1.802732
1452,Prindle School,11/16/24,1:16:00 PM,42.36442,-72.54051,-45.571912,-5.86914,-3.415823
1453,UMass Stadium,11/16/24,1:27:00 PM,42.37626,-72.54026,-44.320956,-5.698064,-3.285339
1454,Umass Track,11/16/24,1:32:00 PM,42.38334299,-72.53813758,-23.596607,-0.346555,-0.630123
1455,Wet Center Up,11/16/24,1:39:00 PM,42.38951737,-72.53923049,-49.252185,-7.090593,-4.049619
1456,Wet Center,11/16/24,1:43:00 PM,42.38820223,-72.5392954,-52.380431,-7.147317,-4.017121
1457,Wet Center Down,11/16/24,1:45:00 PM,42.38755493,-72.53971758,-52.282516,-7.105255,-3.591242
1458,Fieldstone,11/16/24,1:55:00 PM,42.3842276,-72.5248678,-51.958736,-7.075425,-3.515459
1459,TBD Down,11/16/24,2:02:00 PM,42.39127431,-72.5376558,-50.612693,-6.804685,-3.409002
1460,TBD Up,11/16/24,2:03:00 PM,42.39124813,-72.53555958,-50.853399,-6.745258,-3.412228
1473,TBD Down,11/16/24,11:26:00 AM,42.39127431,-72.5376558,-45.145453,-7.694097,-3.944444
1896,UMass Farm,6/23/25,9:28:00 AM,42.3912734,-72.5364652,-48.483509,-7.669363,-4.041665
1897,Lower MR Trail Bridge,6/23/25,9:41:00 AM,42.41412,-72.5228,-50.851827,-8.103839,-4.299766
1898,Puffers Waterfall,6/23/25,9:47:00 AM,42.41571,-72.51936,-50.672083,-8.103564,-4.283955
1899,Puffers Pond Beach,6/23/25,9:56:00 AM,42.41607,-72.51742,-52.195297,-8.205754,-4.22066
1900,Upper Puffers - Bridge,6/23/25,10:07:00 AM,42.41583,-72.51217,-51.88511,-8.192456,-4.211514
1901,Puffers Railroad,6/23/25,10:11:00 AM,42.41676691,-72.50990743,-51.676565,-8.210474,-4.305642
1902,Atkins Reservoir,6/23/25,10:24:00 AM,42.41998532,-72.48228751,-48.503845,-7.282467,-3.850221
1903,Roaring,6/23/25,10:35:00 AM,42.43856274,-72.48246791,-52.560449,-8.487197,-4.440996
1904,Broad Hill,6/23/25,10:43:00 AM,42.44938891,-72.46629085,-53.328858,-8.515188,-4.546874
1905,Shutesbury Cemetery,6/23/25,10:55:00 AM,42.45460709,-72.4272845,-49.098783,-7.890014,-4.159204
1906,Leverett Library,6/23/25,11:13:00 AM,42.46187717,-72.49582683,-52.790706,-8.441717,-4.392899
1907,Rattlesnake Gutter,6/23/25,11:23:00 AM,42.47753115,-72.49834408,-51.169542,-8.089763,-4.227242
